id,updated_at,content,created_at,account_id,workout_id
50804535,2026-05-07T21:25:47.544678Z,me chama,2026-05-07T21:25:47.544678Z,255289,622491662
50853285,2026-05-08T02:45:04.742194Z,Lindo,2026-05-08T02:45:04.742194Z,1798219,623116490
50885203,2026-05-08T15:25:30.567688Z,Gigante!,2026-05-08T15:25:30.567688Z,5912814,623180555
50878084,2026-05-08T13:46:02.577098Z,"É um tipo de aula que mistura cardio com treino de força. No meu caso, o cardio = bike, e o treino de força depende do dia, hoje foi superiores.",2026-05-08T13:46:02.577098Z,1798219,623402721
50878061,2026-05-08T13:45:46.170137Z,A mulher é uma máquina,2026-05-08T13:45:46.170137Z,51123,623402721
50876780,2026-05-08T13:27:53.651331Z,desculpa a ignorância oq é bootcamp?,2026-05-08T13:27:53.651331Z,255289,623402721
50890656,2026-05-08T16:39:10.319539Z,"Kkkkkkkkk, botei aqui no Spotify",2026-05-08T16:39:10.319539Z,5912814,623567212
50890627,2026-05-08T16:38:37.462161Z,Não entendi. É o nome de uma música? Kkkkk,2026-05-08T16:38:37.462161Z,5912814,623567212
50890595,2026-05-08T16:38:05.604886Z,musicao,2026-05-08T16:38:05.604886Z,255289,623567212
50912440,2026-05-08T21:42:25.491551Z,Arrasou,2026-05-08T21:42:25.491551Z,1798219,623908090
50918917,2026-05-08T22:32:01.295168Z,"Lindo, sim, mas hoje tô assim: 🦈🔪",2026-05-08T22:32:01.295168Z,1798219,623955814
50949519,2026-05-09T09:51:21.742329Z,To aqui representando tbm. Jaja atualizo o grupo.,2026-05-09T09:51:21.742329Z,5912814,624406545
50949515,2026-05-09T09:51:07.434814Z,Boa!,2026-05-09T09:51:07.434814Z,5912814,624406545
50950767,2026-05-09T10:48:15.945910Z,a pessoa maia forte do deserto do saara na atualidade,2026-05-09T10:48:15.945910Z,255289,624424509
